name,ra,dec,t_zero,period,width
101063_AD_CYCLE1706,81.6628618676963,-29.6063770329582,2457623.391782407,17.704467537996877,3.888333333333333
101086_AD_CYCLE1706,82.7142738677714,-36.631031933925,2457609.4785300926,2.6471934570763307,1.6800194444444443
101123_AD_CYCLE1706,91.8722393182487,-25.5948925277411,2457288.008715278,0.7668910145469249,1.10125
101124_AD_CYCLE1706,91.7831190099584,-26.5430235298292,2457287.8655555556,1.056514175479691,1.7854666666666668
101128_AD_CYCLE1706,94.7516558270293,-35.628394314713,2457627.0578935184,8.206488700982952,2.7184916666666665
101129_AD_CYCLE1706,94.4445705219456,-35.7063267731428,2457620.169027778,1.6753550040994099,1.9820472222222223
101195_AD_CYCLE1706,206.02660476583,-32.5229600161075,2457499.1892939815,3.370836876569479,4.5311666666666675
101204_AD_CYCLE1706,205.141507872045,-34.7059806823973,2457499.464027778,6.169117254305058,1.8185111111111112
101214_AD_CYCLE1706,210.193539253915,-30.5837088012953,2457759.0136921294,3.960309517003599,6.027583333333332
101255_AD_CYCLE1706,215.482004464094,-30.8427915368923,2457757.6779166665,2.8191444063305555,2.8267222222222226
101256_AD_CYCLE1706,215.122818476021,-31.2018545815598,2457759.2154282406,4.505386550099328,3.8953611111111104
101256_AD_NGTS2B,215.122818476021,-31.2018545815598,2457763.7235185187,9.010631978959768,3.541194444444444
101257_AD_CYCLE1706,212.731063813601,-31.2399704522231,2457757.021712963,1.6831451696413309,2.1904416666666666
101292_AD_CYCLE1706,216.138453945224,-30.7776964190075,2457757.150474537,2.6953059664118517,2.202647222222222
101302_AD_CYCLE1706,217.683333452454,-31.7324202611918,2457756.8253819444,4.520315287467466,2.9161111111111113
101309_AD_CYCLE1706,220.100810607288,-30.8690638595347,2457758.873888889,4.476600736553368,1.8182194444444444
101340_AD_CYCLE1706,87.624913503633,-32.7777841287569,2457608.2059143516,3.2700456414056247,1.808836111111111
101416_AD_CYCLE1706,221.058252864762,5.60551789569607,2457404.6454050927,3.357267279707523,1.8223388888888892
101416_AD_PLOTTEST,221.058252864762,5.60551789569607,2457404.6454050927,3.357267279707523,1.8223388888888892
101442_AD_CYCLE1706,231.184500082926,-26.361195356387,2457786.539039352,6.722789903424479,3.2173888888888893
101517_AD_CYCLE1706,305.095698299305,-19.3147094632855,2457503.697199074,5.084913264960429,5.168055555555555
101526_AD_CYCLE1706,307.90266016137,-26.491394129893,2457500.882997685,12.090738881565509,2.721597222222222
101536_AD_CYCLE1706,313.818259680762,-1.98868342826961,2457509.5388310184,12.688757357162615,4.246388888888889
101538_AD_CYCLE1706,314.374701532064,-2.08150826041103,2457500.547013889,3.322659614196227,2.4231722222222225
101541_AD_CYCLE1706,315.455456024814,-2.66308627507633,2457509.655300926,19.134860542635764,3.2958888888888893
101553_AD_CYCLE1706,322.758922662795,4.10556310395802,2457504.3186921296,5.0535668706004975,1.9930416666666666
101568_AD_CYCLE1706,322.822088252239,1.44132348740731,2457504.836099537,7.515570314567014,3.616194444444444
101571_AD_CYCLE1706,324.371011231458,9.10728288551485,2457504.7714814814,8.376957654866736,3.6243055555555554
101596_AD_CYCLE1706,326.486512062708,-38.4597945936284,2457512.9654398146,13.154228753858217,2.9943333333333335
101598_AD_CYCLE1706,326.516783461109,-38.6837018549998,2457512.974826389,13.149517315491666,2.414508333333333
101631_AD_CYCLE1706,58.4289761982791,-34.3282814665794,2457331.7996412036,2.9625517814421527,2.099161111111111
101632_AD_CYCLE1706,80.5382507302862,-30.9708473385463,2457609.746886574,4.3890728431714345,2.6659666666666664
101635_AD_TEST18,328.97575018806,-14.0682911100832,2457501.029976852,1.6662364506277316,2.0086166666666667
101724_AD_CYCLE1706,84.8905360618776,-30.5771313291246,2457610.504722222,3.3583006851112844,2.00515
101788_AD_TEST18,81.8183731446816,-37.3553012564828,2457618.2582407407,7.7987414375928585,3.2103055555555557
101822_AD_TEST18,87.0431752784796,-35.050349342451,2457609.1216550926,3.7944479864872456,2.003225
